Train_No,Start_Time,End_Time,Journey_Duration_Hours
107,10:25:00,12:10:00,1.75
108,20:30:00,22:25:00,1.92
128,19:40:00,17:45:00,22.08
290,18:30:00,02:30:00,8.0
401,21:30:00,10:00:00,12.5
421,23:00:00,08:00:00,9.0
422,11:45:00,14:30:00,2.75
477,12:10:00,15:20:00,3.17
502,10:30:00,09:30:00,23.0
504,09:00:00,10:00:00,1.0
506,14:15:00,15:45:00,1.5
557,23:30:00,11:00:00,11.5
604,12:30:00,16:00:00,3.5
1011,00:20:00,14:20:00,14.0
1037,01:10:00,10:30:00,9.33
1038,14:05:00,00:20:00,10.25
1045,01:10:00,11:00:00,9.83
1119,19:50:00,20:30:00,0.67
1120,21:30:00,22:00:00,0.5
1122,22:30:00,10:30:00,12.0
1196,19:50:00,21:30:00,1.67
1301,18:50:00,12:30:00,17.67
1302,15:45:00,13:10:00,21.42
1442,11:15:00,02:15:00,15.0
1655,10:45:00,06:15:00,19.5
1656,19:30:00,14:05:00,18.58
1705,00:15:00,21:40:00,21.42
1706,14:20:00,11:15:00,20.92
1707,09:15:00,11:45:00,2.5
1708,14:45:00,17:20:00,2.58
2025,05:00:00,13:20:00,8.33
2026,14:30:00,23:00:00,8.5
2191,20:10:00,16:00:00,19.83
2192,20:40:00,15:50:00,19.17
2195,13:20:00,23:00:00,9.67
2196,23:45:00,09:45:00,10.0
2515,00:05:00,05:00:00,4.92
2651,07:45:00,09:10:00,1.42
2652,16:45:00,18:10:00,1.42
2731,16:25:00,06:25:00,14.0
2732,14:35:00,02:00:00,11.42
2821,10:30:00,18:15:00,7.75
2822,18:30:00,02:45:00,8.25
2833,22:20:00,16:35:00,18.25
2834,21:05:00,13:45:00,16.67
2841,12:40:00,15:20:00,2.67
2842,18:20:00,23:30:00,5.17
2845,10:45:00,18:20:00,7.58
2846,21:00:00,02:45:00,5.75
3101,23:55:00,11:50:00,11.92
3102,22:45:00,10:25:00,11.67
3301,10:10:00,11:35:00,1.42
3302,11:45:00,13:10:00,1.42
3305,11:30:00,11:50:00,0.33
3306,12:05:00,12:25:00,0.33
3307,14:40:00,15:15:00,0.58
3308,13:15:00,13:45:00,0.5
3501,18:30:00,14:10:00,19.67
3502,19:50:00,17:30:00,21.67
4401,22:20:00,13:00:00,14.67
4402,23:50:00,14:05:00,14.25
4409,21:10:00,11:30:00,14.33
4410,13:30:00,03:15:00,13.75
4419,10:40:00,16:55:00,6.25
4420,15:35:00,19:40:00,4.08
4735,19:45:00,10:25:00,14.67
4736,19:50:00,09:25:00,13.58
4767,14:25:00,16:05:00,1.67
4768,11:10:00,13:00:00,1.83
4769,17:45:00,19:30:00,1.75
4770,15:30:00,17:05:00,1.58
4771,02:35:00,08:45:00,6.17
4772,18:45:00,01:00:00,6.25
4773,19:35:00,22:40:00,3.08
4774,01:20:00,03:55:00,2.58
4801,06:30:00,07:30:00,1.0
4802,19:20:00,20:20:00,1.0
4831,13:30:00,10:45:00,21.25
4832,16:45:00,11:45:00,19.0
4851,06:50:00,11:30:00,4.67
4852,16:55:00,22:00:00,5.08
4853,11:55:00,13:10:00,1.25
4854,15:45:00,16:45:00,1.0
4921,04:45:00,06:30:00,1.75
4922,20:45:00,22:40:00,1.92
4991,14:40:00,17:10:00,2.5
4992,09:50:00,12:10:00,2.33
5061,06:45:00,09:50:00,3.08
5062,17:20:00,20:05:00,2.75
5065,19:30:00,08:15:00,12.75
5066,20:25:00,08:25:00,12.0
5105,11:45:00,13:35:00,1.83
5106,14:10:00,15:40:00,1.5
5305,14:55:00,18:25:00,3.5
5306,11:35:00,14:30:00,2.92
5309,20:55:00,22:45:00,1.83
5310,17:30:00,19:25:00,1.92
5521,20:40:00,00:25:00,3.75
5522,05:10:00,08:00:00,2.83
5613,06:00:00,08:05:00,2.08
5614,19:10:00,21:25:00,2.25
5619,13:20:00,17:30:00,4.17
5620,08:45:00,12:50:00,4.08
5631,17:30:00,05:55:00,12.42
5632,19:20:00,07:45:00,12.42
5715,03:00:00,05:10:00,2.17
5716,04:00:00,06:30:00,2.5
5719,23:15:00,03:15:00,4.0
5720,18:00:00,23:00:00,5.0
5863,18:20:00,21:25:00,3.08
5864,05:00:00,07:45:00,2.75
5865,08:15:00,20:20:00,12.08
5866,06:00:00,17:45:00,11.75
6001,21:50:00,10:30:00,12.67
6002,15:00:00,03:30:00,12.5
6006,19:25:00,10:30:00,15.08
6009,14:10:00,20:15:00,6.08
6010,19:15:00,04:30:00,9.25
6041,18:20:00,11:00:00,16.67
6042,16:15:00,08:30:00,16.25
6043,22:30:00,14:30:00,16.0
6044,15:15:00,07:20:00,16.08
6046,14:45:00,08:45:00,18.0
6047,18:20:00,10:30:00,16.17
6048,13:30:00,06:30:00,17.0
6049,14:45:00,05:50:00,15.08
6050,13:00:00,05:30:00,16.5
6053,18:35:00,05:10:00,10.58
6054,15:40:00,05:00:00,13.33
6057,23:50:00,05:30:00,5.67
6058,15:15:00,19:00:00,3.75
6065,17:20:00,06:45:00,13.42
6066,15:55:00,02:30:00,10.58
6067,19:45:00,05:40:00,9.92
6068,17:30:00,05:25:00,11.92
6081,13:35:00,14:45:00,1.17
6082,15:05:00,16:15:00,1.17
6412,11:10:00,16:20:00,5.17
6512,08:00:00,10:20:00,2.33
6513,07:10:00,07:45:00,0.58
6541,18:00:00,11:35:00,17.58
6542,13:35:00,06:20:00,16.75
6547,22:45:00,10:30:00,11.75
6548,14:45:00,04:30:00,13.75
6579,18:35:00,14:35:00,20.0
6580,13:45:00,09:05:00,19.33
6581,20:15:00,09:31:00,13.27
6582,19:10:00,08:26:00,13.27
6591,06:30:00,08:00:00,1.5
6592,08:15:00,09:50:00,1.58
6593,18:15:00,18:40:00,0.42
6594,08:25:00,08:50:00,0.42
6595,10:35:00,11:25:00,0.83
6596,13:15:00,14:25:00,1.17
6647,05:30:00,07:40:00,2.17
6648,16:00:00,18:30:00,2.5
6769,04:50:00,07:30:00,2.67
6770,19:25:00,22:30:00,3.08
6851,06:00:00,06:20:00,0.33
6852,21:05:00,21:30:00,0.42
6853,14:45:00,15:08:00,0.38
6854,14:10:00,14:35:00,0.42
6919,06:25:00,13:21:00,6.93
6920,13:30:00,20:21:00,6.85
7005,21:30:00,17:30:00,20.0
7006,01:30:00,23:15:00,21.75
7007,22:00:00,13:45:00,15.75
7008,05:00:00,22:10:00,17.17
7016,18:45:00,07:50:00,13.08
7044,16:45:00,07:50:00,15.08
7061,09:00:00,13:30:00,4.5
7062,15:00:00,03:30:00,12.5
7075,19:20:00,05:30:00,10.17
7076,18:10:00,06:00:00,11.83
7109,15:55:00,23:10:00,7.25
7110,02:15:00,10:30:00,8.25
7113,16:00:00,23:10:00,7.17
7133,15:30:00,23:10:00,7.67
7134,02:15:00,10:30:00,8.25
7141,16:15:00,23:10:00,6.92
7142,02:15:00,08:30:00,6.25
7146,17:00:00,06:30:00,13.5
7149,07:30:00,08:45:00,1.25
7211,23:50:00,06:30:00,6.67
7212,09:30:00,13:30:00,4.0
7213,04:00:00,06:30:00,2.5
7214,09:30:00,09:35:00,0.08
7217,23:50:00,06:30:00,6.67
7218,09:30:00,13:45:00,4.25
7410,09:15:00,09:30:00,0.25
7417,07:30:00,11:55:00,4.42
7418,22:00:00,04:00:00,6.0
7425,18:45:00,06:00:00,11.25
7426,17:50:00,05:10:00,11.33
7429,18:30:00,07:00:00,12.5
7430,14:15:00,04:00:00,13.75
7431,20:10:00,07:10:00,11.0
7432,17:00:00,04:00:00,11.0
7435,18:00:00,06:00:00,12.0
7436,19:15:00,07:20:00,12.08
7438,13:00:00,19:45:00,6.75
7439,22:50:00,05:00:00,6.17
7487,22:30:00,10:45:00,12.25
7505,11:00:00,03:45:00,16.75
7509,13:25:00,03:45:00,14.33
7517,22:30:00,07:45:00,9.25
7525,12:00:00,21:15:00,9.25
7526,05:00:00,15:00:00,10.0
7603,18:00:00,06:00:00,12.0
7604,15:25:00,06:55:00,15.5
7607,18:45:00,14:00:00,19.25
7608,15:45:00,11:30:00,19.75
7613,12:10:00,23:10:00,11.0
7614,02:15:00,13:15:00,11.0
7644,20:10:00,07:45:00,11.58
7645,23:00:00,08:15:00,9.25
7757,05:30:00,10:45:00,5.25
7758,17:30:00,22:50:00,5.33
7941,19:00:00,06:00:00,11.0
7942,19:00:00,05:30:00,10.5
8001,10:10:00,10:45:00,0.58
8002,18:25:00,19:10:00,0.75
8014,08:25:00,09:05:00,0.67
8017,05:10:00,06:00:00,0.83
8018,21:40:00,22:35:00,0.92
8035,12:15:00,15:10:00,2.92
8036,15:20:00,18:20:00,3.0
8051,06:05:00,06:34:00,0.48
8052,18:35:00,19:20:00,0.75
8061,20:20:00,06:35:00,10.25
8062,12:45:00,23:20:00,10.58
8063,19:00:00,22:00:00,3.0
8064,01:00:00,09:10:00,8.17
8065,15:10:00,17:50:00,2.67
8082,22:20:00,22:50:00,0.5
8087,06:55:00,07:23:00,0.47
8101,21:15:00,22:35:00,1.33
8102,20:00:00,20:55:00,0.92
8301,09:30:00,16:40:00,7.17
8302,00:30:00,06:35:00,6.08
8403,21:25:00,06:45:00,9.33
8404,19:10:00,04:00:00,8.83
8501,23:00:00,12:00:00,13.0
8502,16:30:00,04:50:00,12.33
8511,15:00:00,03:00:00,12.0
8512,22:15:00,10:00:00,11.75
8567,23:00:00,03:45:00,4.75
8568,05:45:00,12:30:00,6.75
8573,22:55:00,13:25:00,14.5
8574,15:30:00,06:50:00,15.33
8581,23:30:00,23:50:00,0.33
8582,04:45:00,05:00:00,0.25
8617,14:05:00,13:55:00,23.83
8618,22:50:00,22:30:00,23.67
8627,12:50:00,22:10:00,9.33
8628,05:45:00,15:15:00,9.5
8872,21:30:00,00:15:00,2.75
9003,16:05:00,06:00:00,13.92
9004,16:15:00,06:10:00,13.92
9005,16:00:00,07:55:00,15.92
9006,14:50:00,06:55:00,16.08
9011,11:15:00,09:25:00,22.17
9012,14:50:00,12:45:00,21.92
9433,00:25:00,13:50:00,13.42
9434,16:35:00,06:15:00,13.67
9621,06:30:00,04:45:00,22.25
9622,06:15:00,03:25:00,21.17
9721,06:15:00,13:30:00,7.25
9722,15:05:00,22:05:00,7.0
9761,04:20:00,07:05:00,2.75
9809,21:10:00,04:20:00,7.17
9810,05:15:00,13:15:00,8.0
10103,07:10:00,18:45:00,11.58
10104,09:15:00,21:40:00,12.42
10111,23:05:00,10:45:00,11.67
10112,18:00:00,05:50:00,11.83
10215,21:30:00,10:55:00,13.42
10216,13:50:00,03:15:00,13.42
11001,05:00:00,12:15:00,7.25
11002,13:00:00,20:25:00,7.42
11003,00:05:00,10:40:00,10.58
11004,18:50:00,06:45:00,11.92
11005,21:30:00,07:15:00,9.75
11006,20:50:00,05:40:00,8.83
11007,07:00:00,11:05:00,4.08
11008,15:15:00,19:17:00,4.03
11009,14:30:00,18:40:00,4.17
11010,06:05:00,09:55:00,3.83
11011,12:05:00,04:45:00,16.67
11012,06:30:00,23:45:00,17.25
11013,22:35:00,07:15:00,8.67
11014,08:55:00,14:30:00,5.58
11015,22:45:00,07:05:00,8.33
11016,19:00:00,04:20:00,9.33
11017,12:05:00,18:35:00,6.5
11018,14:00:00,23:45:00,9.75
11019,15:10:00,04:15:00,13.08
11020,15:25:00,03:55:00,12.5
11021,21:30:00,11:45:00,14.25
11022,15:00:00,05:40:00,14.67
11023,17:50:00,06:05:00,12.25
11024,22:50:00,11:50:00,13.0
11025,00:25:00,12:05:00,11.67
11026,11:45:00,21:50:00,10.08
11027,23:45:00,03:30:00,3.75
11028,23:55:00,03:45:00,3.83
11029,08:40:00,20:25:00,11.75
11030,07:55:00,20:05:00,12.17
11031,10:10:00,12:20:00,2.17
11032,14:50:00,17:40:00,2.83
11033,16:15:00,06:45:00,14.5
11034,16:45:00,08:05:00,15.33
11035,21:30:00,21:40:00,0.17
11036,06:15:00,05:40:00,23.42
11037,16:15:00,01:05:00,8.83
11038,15:30:00,04:05:00,12.58
11039,15:30:00,20:15:00,4.75
11040,08:20:00,12:45:00,4.42
11041,14:00:00,16:30:00,2.5
11042,12:20:00,13:35:00,1.25
11043,00:15:00,10:10:00,9.92
11044,18:00:00,05:45:00,11.75
11045,23:45:00,12:00:00,12.25
11046,13:50:00,03:35:00,13.75
11047,00:10:00,06:25:00,6.25
11048,23:30:00,05:15:00,5.75
11049,19:25:00,15:25:00,20.0
11050,12:50:00,07:45:00,18.92
11051,23:35:00,06:20:00,6.75
11052,23:55:00,07:30:00,7.58
11053,16:40:00,02:10:00,9.5
11054,05:20:00,12:15:00,6.92
11055,10:55:00,20:20:00,9.42
11056,06:20:00,16:15:00,9.92
11057,23:30:00,16:30:00,17.0
11058,08:30:00,04:05:00,19.58
11059,10:55:00,21:05:00,10.17
11060,05:15:00,16:15:00,11.0
11061,12:15:00,01:10:00,12.92
11062,13:05:00,03:40:00,14.58
11063,23:00:00,05:20:00,6.33
11064,21:20:00,03:45:00,6.42
11067,05:23:00,08:55:00,3.53
11068,15:35:00,21:30:00,5.92
11071,12:40:00,19:25:00,6.75
11072,15:50:00,22:50:00,7.0
11073,13:20:00,12:55:00,23.58
11074,15:15:00,16:00:00,0.75
11075,12:05:00,01:30:00,13.42
11076,08:20:00,23:55:00,15.58
11077,17:20:00,10:05:00,16.75
11078,21:45:00,15:10:00,17.42
11079,15:50:00,01:30:00,9.67
11080,05:30:00,16:00:00,10.5
11081,15:50:00,02:05:00,10.25
11082,13:05:00,23:00:00,9.92
11083,11:30:00,15:00:00,3.5
11084,17:45:00,23:15:00,5.5
11085,05:33:00,17:30:00,11.95
11086,06:00:00,17:10:00,11.17
11087,08:25:00,04:40:00,20.25
11088,19:50:00,16:45:00,20.92
11089,05:30:00,04:40:00,23.17
11090,19:50:00,17:10:00,21.33
11091,08:55:00,04:40:00,19.75
11092,19:50:00,15:20:00,19.5
11093,00:10:00,04:40:00,4.5
11094,11:20:00,14:15:00,2.92
11095,16:15:00,04:40:00,12.42
11096,19:50:00,07:45:00,11.92
11097,23:30:00,08:10:00,8.67
11098,23:30:00,05:05:00,5.58
11101,00:25:00,03:10:00,2.75
11102,15:00:00,20:05:00,5.08
11103,16:50:00,16:45:00,23.92
11104,05:10:00,06:40:00,1.5
11107,20:40:00,10:50:00,14.17
11108,17:45:00,09:05:00,15.33
11109,06:10:00,12:05:00,5.92
11110,16:40:00,22:35:00,5.92
11111,13:05:00,09:00:00,19.92
11112,11:55:00,06:10:00,18.25
11123,18:45:00,20:55:00,2.17
11124,11:50:00,13:00:00,1.17
11125,20:05:00,07:47:00,11.7
11126,19:30:00,07:55:00,12.42
11201,16:40:00,14:15:00,21.58
11202,16:15:00,13:45:00,21.5
11203,11:55:00,14:05:00,2.17
11204,16:30:00,19:15:00,2.75
11205,16:40:00,09:15:00,16.58
11206,23:15:00,13:45:00,14.5
11265,14:00:00,23:00:00,9.0
11266,06:15:00,14:55:00,8.67
11272,18:15:00,12:10:00,17.92
11301,08:10:00,08:50:00,0.67
11302,20:45:00,20:15:00,23.5
11303,23:10:00,22:40:00,23.5
11304,07:35:00,06:45:00,23.17
11307,10:15:00,14:50:00,4.58
11308,16:00:00,21:00:00,5.0
11309,06:00:00,12:05:00,6.08
11310,15:25:00,20:55:00,5.5
11401,16:35:00,16:15:00,23.67
11402,06:00:00,05:35:00,23.58
11403,15:00:00,14:00:00,23.0
11404,12:50:00,12:35:00,23.75
11405,22:00:00,15:00:00,17.0
11406,18:30:00,13:15:00,18.75
11407,22:00:00,02:30:00,4.5
11408,06:30:00,11:05:00,4.58
11423,06:25:00,14:30:00,8.08
11424,15:00:00,23:15:00,8.25
11447,23:50:00,04:15:00,4.42
