Train_No,Total_Distance,Number_of_Stops
107,78,4
108,83,4
128,978,22
290,2694,14
401,1618,12
421,1276,5
422,1277,5
477,2616,14
502,1206,9
504,1313,3
506,1161,3
557,1301,2
604,1429,3
1011,841,18
1037,513,10
1038,503,10
1045,563,11
1119,1329,24
1120,1319,24
1122,569,14
1196,1332,26
1301,976,17
1302,973,17
1442,1581,13
1655,1050,13
1656,1050,13
1705,1261,14
1706,1262,14
1707,1360,17
1708,1362,17
2025,579,7
2026,569,7
2191,1123,16
2192,1123,16
2195,551,10
2196,549,10
2515,3939,58
2651,62,3
2652,62,3
2731,1854,29
2732,1853,29
2821,2066,14
2822,2073,14
2833,2332,29
2834,2351,29
2841,1656,12
2842,1656,12
2845,1770,17
2846,1791,17
3101,523,9
3102,522,9
3301,58,13
3302,58,13
3305,3,2
3306,3,2
3307,4,4
3308,4,4
3501,1193,5
3502,1193,5
4401,710,13
4402,710,13
4409,653,7
4410,653,7
4419,1916,13
4420,1924,13
4735,691,17
4736,691,17
4767,67,10
4768,67,10
4769,67,10
4770,67,10
4771,232,24
4772,232,24
4773,125,16
4774,125,10
4801,21,3
4802,21,3
4831,882,22
4832,881,22
4851,197,21
4852,197,21
4853,42,6
4854,42,6
4921,81,13
4922,81,13
4991,99,14
4992,99,14
5061,112,5
5062,112,5
5065,503,15
5066,505,15
5105,64,4
5106,64,4
5305,136,11
5306,136,11
5309,81,6
5310,81,6
5521,81,12
5522,81,12
5613,85,11
5614,85,9
5619,153,20
5620,153,20
5631,380,10
5632,379,10
5715,87,2
5716,87,2
5719,204,11
5720,205,11
5863,89,15
5864,88,15
5865,426,53
5866,425,53
6001,649,14
6002,649,15
6006,699,14
6009,1844,27
6010,1843,27
6041,849,19
6042,851,20
6043,849,18
6044,852,19
6046,852,19
6047,849,19
6048,852,20
6049,855,19
6050,857,20
6053,626,14
6054,627,14
6057,1656,19
6058,1655,19
6065,500,13
6066,501,13
6067,522,9
6068,522,9
6081,45,4
6082,45,4
6412,2462,21
6512,77,14
6513,17,6
6541,881,14
6542,878,14
6547,632,14
6548,634,13
6579,1089,21
6580,1086,21
6581,607,85
6582,604,85
6591,62,9
6592,61,9
6593,10,4
6594,10,4
6595,33,7
6596,33,7
6647,89,8
6648,89,8
6769,116,11
6770,116,11
6851,10,3
6852,10,3
6853,10,3
6854,10,3
6919,247,36
6920,248,36
7005,2276,34
7006,2297,34
7007,2023,27
7008,2033,28
7016,670,18
7044,735,11
7061,217,8
7062,437,14
7075,554,17
7076,553,17
7109,1589,40
7110,1593,40
7113,1543,37
7133,1508,39
7134,1511,39
7141,1560,39
7142,1563,39
7146,763,16
7149,2563,37
7211,1433,36
7212,1436,36
7213,1221,29
7214,1226,30
7217,1360,37
7218,1363,37
7410,1147,29
7417,1330,33
7418,1331,33
7425,537,15
7426,537,15
7429,742,11
7430,744,11
7431,597,13
7432,597,14
7435,555,14
7436,554,15
7438,1533,28
7439,1533,28
7487,735,11
7505,1973,49
7509,1886,47
7517,350,9
7525,322,33
7526,322,33
7603,624,14
7604,624,14
7607,1014,19
7608,1016,19
7613,1636,38
7614,1641,39
7644,597,11
7645,587,10
7757,314,6
7758,314,6
7941,587,12
7942,597,13
8001,39,2
8002,39,2
8014,12,4
8017,39,6
8018,39,6
8035,120,19
8036,120,19
8051,39,3
8052,39,5
8061,1847,24
8062,1838,24
8063,115,17
8064,2039,16
8065,115,17
8082,30,6
8087,30,6
8101,40,5
8102,40,5
8301,1567,15
8302,1567,15
8403,495,9
8404,497,9
8501,700,13
8502,698,13
8511,471,12
8512,471,12
8567,1571,29
8568,1578,29
8573,760,15
8574,759,15
8581,11,2
8582,11,2
8617,1365,15
8618,1356,15
8627,484,13
8628,481,14
8872,133,17
9003,1355,5
9004,1358,5
9005,1373,4
9006,1376,4
9011,1209,20
9012,1211,20
9433,780,14
9434,780,14
9621,1281,12
9622,1281,12
9721,429,12
9722,429,12
9761,125,13
9809,447,11
9810,450,11
10103,590,20
10104,594,20
10111,590,20
10112,594,20
10215,726,13
10216,727,13
11001,348,12
11002,348,12
11003,502,21
11004,504,21
11005,1636,39
11006,1639,38
11007,191,12
11008,191,11
11009,191,12
11010,191,11
11011,723,16
11012,723,16
11013,1515,34
11014,1515,34
11015,1678,47
11016,1677,46
11017,1631,30
11018,1634,30
11019,1941,39
11020,1941,40
11021,1843,40
11022,1845,39
11023,517,28
11024,517,31
11025,545,19
11026,545,19
11027,1281,52
11028,1283,52
11029,517,35
11030,517,34
11031,108,5
11032,108,5
11033,1955,30
11034,1953,30
11035,1210,27
11036,1213,26
11037,1777,17
11038,1777,17
11039,1352,62
11040,1353,60
11041,1281,36
11042,1283,34
11043,1696,27
11044,1700,26
11045,2894,39
11046,2892,39
11047,278,12
11048,279,12
11049,949,18
11050,949,18
11051,314,9
11052,314,9
11053,1552,17
11054,1551,17
11055,1732,23
11056,1732,23
11057,2026,90
11058,2029,91
11059,1772,24
11060,1770,24
11061,1885,41
11062,1883,39
11063,352,14
11064,352,14
11067,1510,20
11068,1509,20
11071,1645,43
11072,1647,41
11073,1265,18
11074,1267,17
11075,651,13
11076,651,13
11077,2155,67
11078,2157,65
11079,1745,25
11080,1745,24
11081,1731,20
11082,1731,19
11083,1153,29
11084,1153,28
11085,574,11
11086,578,11
11087,1053,26
11088,1053,25
11089,1074,26
11090,1072,26
11091,981,24
11092,981,24
11093,1516,27
11094,1515,26
11095,623,17
11096,622,16
11097,1278,33
11098,1279,32
11101,1373,23
11102,1373,23
11103,1321,21
11104,1321,21
11107,629,31
11108,629,37
11109,291,11
11110,291,11
11111,939,12
11112,941,12
11123,1051,49
11124,1054,49
11125,561,11
11126,561,11
11201,1015,26
11202,1015,26
11203,1340,28
