Train_No,Route,Journey_Duration
58537,KORAPUT JN. to VISAKHAPATNA,9 hours 55 minutes
55540,HAJIPUR JN. to KATIHAR JN.,9 hours 55 minutes
22962,HAPA to SURAT,9 hours 55 minutes
55326,KASGANJ JN. to LUCKNOW JN.,9 hours 55 minutes
15769,ALIPUR DUAR to LUMDING JN.,9 hours 55 minutes
22692,HAZRAT NIZAM to KRANTIVIRA S,9 hours 55 minutes
12973,INDORE BG to JAIPUR JN.,9 hours 55 minutes
12343,SEALDAH to NEW JALPAIGU,9 hours 55 minutes
22889,DIGHA FS to PURI,9 hours 55 minutes
57542,NANDED to MANMAD JN.,9 hours 55 minutes
12138,FIROZPUR CAN to CST-MUMBAI,9 hours 55 minutes
22691,KRANTIVIRA S to HAZRAT NIZAM,9 hours 55 minutes
51679,KATNI to CHOPAN,9 hours 55 minutes
22116,KARMALI to LOKMANYA TIL,9 hours 55 minutes
6067,CHENGALPATTU to COIMBATORE,9 hours 55 minutes
11043,LOKMANYA TIL to MADURAI JN,9 hours 55 minutes
11082,GORAKHPUR JN to LOKMANYA TIL,9 hours 55 minutes
22309,HOWRAH JN. to NEW JALPAIGU,9 hours 55 minutes
11056,GORAKHPUR JN to LOKMANYA TIL,9 hours 55 minutes
19202,PORBANDAR to SECUNDERABAD,9 hours 50 minutes
54044,HISAR JN to JIND JN,9 hours 50 minutes
12530,LUCKNOW JN. to PATLIPUTRA,9 hours 50 minutes
57625,SECUNDERABAD to MANUGURU,9 hours 50 minutes
12537,MUZAFFARPUR to MANDUADIH,9 hours 50 minutes
19251,SOMNATH to OKHA,9 hours 50 minutes
18620,DUMKA to RANCHI,9 hours 50 minutes
22457,NANDED to UNA HIMACHAL,9 hours 50 minutes
56904,DHARWAD to SOLAPUR,9 hours 50 minutes
1045,LOKMANYA TIL to KARMALI,9 hours 50 minutes
22115,LOKMANYA TIL to KARMALI,9 hours 50 minutes
14711,HARIDWAR JN to SHRI GANGANA,9 hours 50 minutes
18619,RANCHI to DUMKA,9 hours 50 minutes
14553,DELHI JN. to AMB  ANDAURA,9 hours 50 minutes
12512,TRIVANDRUM C to GORAKHPUR JN,9 hours 5 minutes
12425,NEW DELHI to JAMMU TAWI,9 hours 5 minutes
12085,GUWAHATI to DIBRUGARH,9 hours 5 minutes
22681,MYSORE JN. to CHENNAI CENT,9 hours 5 minutes
12419,LUCKNOW JN. to NEW DELHI,9 hours 5 minutes
14114,DEHRA DUN to ALIGARH JN.,9 hours 5 minutes
12408,AMRITSAR JN. to NEW JALPAIGU,9 hours 5 minutes
51675,KATNI to CHOPAN,9 hours 5 minutes
54325,SITAPUR CITY to KANPUR CENTR,9 hours 5 minutes
56276,MYSORE JN. to TALGUPPA,9 hours 5 minutes
59077,SURAT to BHUSAVAL JN.,9 hours 5 minutes
12810,HOWRAH JN. to CST-MUMBAI,9 hours 5 minutes
17687,MANMAD JN. to DHARMABAD,9 hours 5 minutes
12621,CHENNAI CENT to NEW DELHI,9 hours 5 minutes
14681,NEW DELHI to JALANDHAR CI,9 hours 5 minutes
51426,MIRAJ JN. to PARLI VAIJNA,9 hours 45 minutes
13064,BALURGHAT to HOWRAH JN.,9 hours 45 minutes
57133,BIJAPUR JN to RAICHUR,9 hours 45 minutes
11005,DADAR to PONDICHERRY,9 hours 45 minutes
22483,JODHPUR JN. to GANDHIDHAM J,9 hours 45 minutes
52473,PATHANKOT JN to JOGINDER NAG,9 hours 45 minutes
16787,TIRUNELVELI to ERODE JN.,9 hours 45 minutes
56041,TIRUPATI to PONDICHERRY,9 hours 45 minutes
16575,YESVANTPUR J to MANGALORE JN,9 hours 45 minutes
59014,BHUSAVAL JN. to SURAT,9 hours 45 minutes
